,user_id,Recency_days,Recency_hours,RecencyCluster,Frequency,FrequencyCluster,purchase_value,RevenueCluster,OverallScore,rfm_label
1063,b54ee3d1cec5bd10c00b6f333f7142528120f6b6cb218bb7eea7b52e825cbc28,50,1215.0912391666666,2,20,1,10998.0,2,5,about to sleep
1064,db8b7afb660fecd27ea7936387303f1a2043a42b517b029bc966700c846cda4c,82,1989.1729027777778,1,19,1,16507.0,2,4,hibernating
4793,b87e7f9068033a7de1c741f4f234aef1e502357fcf39f332195b697cb1efdbbf,57,1369.2299475,2,13,1,4958.0,1,4,about to sleep
4794,8e059d9d38f5b021eaa1a2a0386282482ac34e89a59f11909404ed7e6914ffe7,57,1388.1341316666667,2,15,1,4808.0,1,4,about to sleep
4795,b84a033363e04f0d8ddfab04cde40575dd2ba94c566d81042dbdb5870c44b0fb,37,889.2275777777778,2,10,1,3530.0,1,4,about to sleep
4796,f354b1b49166df76c503e1f40817c0be7ba48c832429f774d90549a68233b27d,37,903.217075,2,16,1,5094.0,1,4,about to sleep
4797,e3fae96386f3c2998500657a293032b5a7f3cb7c01b9fc4b37462bfc89b94928,54,1302.3688080555555,2,9,1,3799.0,1,4,about to sleep
4798,29a822bacac7287c35baca083b4c23792be903375c12a1aef89ec4d3ee3d45b6,46,1124.746406388889,2,10,1,8739.0,1,4,about to sleep
4799,b464055d6f7be646837eb7cfffac09b52dbaecc4bbdfafb5501dd4851f10ef63,61,1487.6012933333334,2,21,1,8247.0,1,4,about to sleep
4800,71a653e4f82f9393da15fbf82f03891674b8b153704fd9adb2fb35d402e3982f,55,1341.0753469444444,2,14,1,6382.0,1,4,about to sleep
4801,3b6541a1002a4567e0b42924f168dc6c6450662aa5666f31049aaedef0c6daca,45,1085.7219041666667,2,18,1,5433.0,1,4,about to sleep
4802,08b2d765c3f0f8eab65421a418960355f0c5e80779b05cb2b4207c104ba0a459,38,914.6653136111111,2,15,1,5840.0,1,4,about to sleep
4803,b87adbee50fa324080005bb6bd096712bdf3d9ad3a46010e2bad1872d378f019,46,1125.5262788888888,2,14,1,8848.0,1,4,about to sleep
4804,41d35173189a57673c5756e789be57dc5d59b1e1f3a142e96e003682d3bc9bae,41,1007.7652019444445,2,15,1,3835.0,1,4,about to sleep
4805,19ed4d08b9401aaa4aa69a4061f2ddd2392a95222fdffe91f62a2d6eb860dcb6,40,977.5417005555555,2,14,1,4278.0,1,4,about to sleep
4806,58eaf235724d9f6235710a018d877c828c36a7787d6d27d4a5d3e36b26895107,47,1147.9784038888888,2,8,1,6494.0,1,4,about to sleep
4807,d34d441e810959b7e77dca937ab774ccae076ce492fdd147dee9c0e71da8711b,54,1296.0499283333334,2,21,1,5396.0,1,4,about to sleep
4808,e0954c1c14f6556bf9212cb2f305f5e433097877a6081bbe76c29504a98883e7,37,891.9688361111112,2,20,1,6474.0,1,4,about to sleep
4809,4e1097a5235519b54dc83083662bf099db976ab0cff8759eb132c244061be406,42,1025.8329602777778,2,11,1,5140.0,1,4,about to sleep
4810,9230247142381db81f0fa3ce14a0e626589732ebf63f1769bc18a3dd7c4f92d1,45,1096.847396111111,2,20,1,4073.0,1,4,about to sleep
4811,2490d48a5f158351f8263715e3f7fd7b9bd7329a2846ffaebaff49759178fc19,50,1200.7134905555556,2,11,1,5512.0,1,4,about to sleep
4812,4f358c9edfdf23efb59b213cc76f5711050dbf73a4f428ea9eff42ee5abaad63,56,1346.3566447222222,2,8,1,5785.0,1,4,about to sleep
4813,95cface68368a32f2cc7c33db86da35a57eae60ef5f331825a9eca423e02cb7d,44,1058.4040008333334,2,16,1,7409.0,1,4,about to sleep
4814,d98b6d9147afa1b29769400f71b0e479fdd97f5a423f56bddd4328d69b445442,51,1229.460513888889,2,10,1,6100.0,1,4,about to sleep
4815,f5c0f5ba0db8a523604890ed19af5d72736e6695f8997fbe2d0d300f2b81a605,43,1034.5342844444444,2,12,1,5217.0,1,4,about to sleep
4816,65e14fee3459090fc3a9426abc14006e5aa22aef109c046b2ac790ae2498114c,51,1243.6099911111112,2,12,1,7058.0,1,4,about to sleep
4817,f39c209de10d13744f29376e317d01cd9a26588ca551fd0103629dc7863e87f9,46,1123.6409866666668,2,14,1,5455.0,1,4,about to sleep
4818,5427dfc9f573c93dc267db5bedf933a305a9d41afd4a6e2847152b2349d2a90e,39,958.4567627777777,2,11,1,5916.0,1,4,about to sleep
4819,a9b8d99e6675c199b93ccd95548aa377035ee8e79cafdc4d3347d7af344f736e,38,929.1450286111111,2,10,1,3662.0,1,4,about to sleep
4820,d5f86dadb77cca46ac01045e6025fac199f6b4dff02d3151c67dfd2f8ad9a4ca,58,1413.05184,2,12,1,3679.0,1,4,about to sleep
4821,60dc96fef63944fc32f6eab98f9f0bb695b1128473de7f22229eab3ed3c2d7da,45,1102.207428888889,2,21,1,6306.0,1,4,about to sleep
4822,1ff76151dabce8b965e7a17594422ca1c72cb826c58081506e59de1551b7be4a,42,1027.930155,2,11,1,4385.0,1,4,about to sleep
4823,b97d61bcd9ec8d54126878cf75cf5d7455ad284bf7586f5d688b6244f5187bea,37,895.0081127777778,2,18,1,4869.0,1,4,about to sleep
4824,09c61310a6d8b029d76cd306c4ae3ae747a755b1c277a9cab6ad87920236b366,37,891.6055586111111,2,8,1,3522.0,1,4,about to sleep
4825,8025bb6469c94e6c5228d5eff3308b916a5ff76074628a0a08e797a53fddd959,40,962.9767238888888,2,18,1,8507.0,1,4,about to sleep
4826,f8833fe91ddd04281d3e708100fc9ec48138687e7652613d4f572f86b0c037b5,44,1060.9496308333332,2,18,1,6467.0,1,4,about to sleep
4827,56d12d164eecd6c272e06babdde86a4594a7d7577de99e25d861a0235456253b,46,1111.3342877777777,2,11,1,3581.0,1,4,about to sleep
4828,3142a2bd0d89f92ba1db46bd6306596bcdbd3b1458c42d1c1e64faf13f3f157f,60,1445.6183466666666,2,11,1,6278.0,1,4,about to sleep
4829,14903c3c9dcef260e0a723b77ff2b8efb25f29ca0a84de1a43ff40007b2005fc,38,931.9746922222222,2,15,1,4365.0,1,4,about to sleep
4830,bc5d21820d57a4a5f64001c0d5b4a402ae00c26e1b3a4d85f65de2c2ba556777,46,1108.6409072222223,2,14,1,6046.0,1,4,about to sleep
4831,874f22ccc61d223083ca9da2f73015b8677776f87753ee0b535c1f46cf80c705,38,928.5607461111111,2,18,1,9452.0,1,4,about to sleep
4832,17146c8d3aeeb4ba669a4ce2411e1b72fc7dd632e96eeee677d25b9f793983b7,49,1178.8085691666668,2,15,1,4086.0,1,4,about to sleep
4833,d8730ae6016fe60ae9781a79dea314f50cf2fa76d5bfcb0087780f49a7b65ba4,53,1288.9503247222221,2,9,1,4339.0,1,4,about to sleep
4834,196d2d787211a30a9d2b1b521363e94d98f9814ec70a442598b9f8db8af0bf23,59,1419.3987027777778,2,14,1,4820.0,1,4,about to sleep
4835,9b5557f4654195829a9f6fd56b228b6ccda79e8dcd71a9cd319e7577b3023bb2,37,910.3566436111112,2,8,1,3645.0,1,4,about to sleep
4836,795436890d8e699117fe882beafe4cd52fc053d4c4ed8f439686dbd57ea18a4d,42,1025.1508433333333,2,18,1,4649.0,1,4,about to sleep
4837,4102ae02cf46e0a2092197534f70d97f8ee823a6242ca957f66ae338eb61cace,46,1105.0344166666666,2,17,1,4234.0,1,4,about to sleep
4838,58a312e4f2289b9e0ab3e573aebfbf150ba79bbf16fe8981e87b42db687ccb16,60,1444.5863791666666,2,9,1,4246.0,1,4,about to sleep
4839,9c108cdea4ecb137ce70a2390948211c7a674d70bd017d9c31385d2ab808b5f9,45,1085.8088605555556,2,11,1,5105.0,1,4,about to sleep
4840,a1dbcf2ef81faf4ac01bde2b9447d8d97370f6721024685850235a400b69a485,42,1030.414945,2,16,1,7487.0,1,4,about to sleep
4841,8762cbdf055d929f820039833d8ebfa57118a17cd9e1980ef8f16b3db44df5a3,43,1051.0431066666667,2,13,1,5932.0,1,4,about to sleep
4842,14e738eb9c7c70ee8d6275e78d0a7ca91131cb59a2b73abd70d534a62760bff7,45,1083.80058,2,10,1,5437.0,1,4,about to sleep
4843,98347d2732f1509ea8374e218b5341fb6117bcdc12df36d729f04625b9564510,37,909.0002658333333,2,12,1,5167.0,1,4,about to sleep
4844,188a52f54da5f28169007f6117791bf7fca00b1563b4c886fe7b4e5474721963,38,918.6739869444444,2,15,1,4145.0,1,4,about to sleep
4845,a6cc1403b9747c0cf31b080718638f0bf3ed4b29c4217dc7d4f0c5211f0bc74e,54,1301.2142533333333,2,11,1,4064.0,1,4,about to sleep
4846,27b2f94246d4f689833e1dff4779904a7c8b9eb7dd03f8bc8af000a626d3c810,38,934.334803611111,2,18,1,6165.0,1,4,about to sleep
4847,563e7c4456805059f4a593bacd65b3aab99d23ae4069fbf6fff8dc84275036b7,50,1201.6929122222223,2,8,1,4994.0,1,4,about to sleep
4848,f404cd19091d4862d1233097304a4bfc0d17ec14bbfff17f584000a367e63176,41,1002.9426780555556,2,9,1,9359.0,1,4,about to sleep
4849,f734ba02595d681ef7e82f566022c03f559939b2fe254cab0c8324174ba3bd41,43,1052.6688430555555,2,18,1,7746.0,1,4,about to sleep
